-4.2365 -1.7808 5
-0.0062 -1.8426 5
3.0236 -3.7957 5
9.7274 -4.0370 1
27.9947 -4.8027 1
31.2074 -4.9368 1
37.0934 -5.1811 1
39.2789 -5.9533 1
46.0624 -6.3271 1
50.4397 -9.5447 1
53.0377 -11.3467 1
57.8127 -11.6982 1
59.3509 -12.5872 1
64.0264 -12.7877 1
71.5837 -18.6524 1
82.2856 -19.1336 1
101.5544 -20 1
82.2856 -19.1336 49
85.7191 -16.9885 49
88.9081 -14.4361 49
93.5383 -9.6896 49
95.8267 -6.6125 49
98.2275 -1.3633 49
98.9870 -0.0154 49
17.7392 0.7748 7
20.0370 -1.7537 7
21.5503 -2.5605 7
24.7449 -3.5119 7
27.9947 -4.8027 7
26.2449 0.3322 10
26.4807 0.0206 10
28.4483 -2.6109 10
31.2074 -4.9368 10
